t,o,c,h,l,v
2011-07-07,1.9426666666666668,1.982,2.0,1.9340000000000002,1327900.0
2011-07-08,1.9926666666666666,1.9206666666666665,1.9926666666666666,1.906,1240600.0
2011-07-11,1.8933333333333333,1.8900000000000001,1.9020000000000001,1.8666666666666667,975800.0
2011-07-12,1.8913333333333333,1.8780000000000001,1.9393333333333334,1.8666666666666667,1045400.0
2011-07-13,1.8953333333333333,1.9093333333333333,1.9353333333333333,1.8599999999999999,1066000.0
2011-07-14,1.9020000000000001,1.8406666666666667,1.9306666666666668,1.8166666666666667,1159000.0
2011-07-15,1.8526666666666667,1.8386666666666664,1.8553333333333333,1.8266666666666664,709000.0
2011-07-18,1.8226666666666667,1.8153333333333335,1.8299999999999998,1.7753333333333332,851900.0
2011-07-19,1.8386666666666664,1.8593333333333333,1.8739999999999999,1.8359999999999999,1026100.0
2011-07-20,1.8666666666666667,1.9126666666666667,2.029333333333333,1.8533333333333333,3048300.0
2011-07-21,1.9273333333333333,1.9133333333333333,1.944,1.8733333333333333,1011500.0
2011-07-22,1.9133333333333333,1.9526666666666666,1.9693333333333332,1.9033933333333333,583500.0
2011-07-25,1.9340000000000002,1.8993333333333333,1.95,1.8960000000000001,673300.0
2011-07-26,1.8873333333333333,1.8666666666666667,1.918,1.8646666666666665,760600.0
2011-07-27,1.9,1.8426666666666667,1.9,1.834,958500.0
2011-07-28,1.84,1.8780000000000001,1.9033333333333333,1.8359999999999999,938700.0
2011-07-29,1.8533333333333333,1.8780000000000001,1.8933333333333333,1.8333333333333333,948200.0
2011-08-01,1.9113333333333333,1.918,1.932,1.8806666666666667,1164900.0
2011-08-02,1.9126666666666667,1.8226666666666667,1.9466666666666665,1.8179999999999998,1549400.0
2011-08-03,1.8333333333333333,1.8133333333333332,1.8553333333333333,1.7557333333333331,1794500.0
2011-08-04,1.7673333333333334,1.65,1.7926666666666666,1.6446666666666667,3064500.0
2011-08-05,1.666,1.6159999999999999,1.692,1.5219999999999998,1964400.0
2011-08-08,1.54,1.576,1.6293333333333333,1.54,2608500.0
2011-08-09,1.6099999999999999,1.6706666666666665,1.6966666666666665,1.5799999999999998,1333400.0
2011-08-10,1.696,1.588,1.696,1.5753333333333333,1564200.0
2011-08-11,1.6026666666666667,1.6866666666666668,1.7166666666666666,1.6,836500.0
2011-08-12,1.7066666666666668,1.754,1.8093333333333332,1.6906666666666665,1009100.0
2011-08-15,1.7746666666666666,1.7486666666666666,1.7833333333333332,1.7286666666666666,738600.0
2011-08-16,1.742,1.74,1.7693333333333332,1.7219999999999998,537700.0
2011-08-17,1.7593333333333334,1.722,1.7766666666666666,1.7006666666666668,643700.0
2011-08-18,1.6666666666666667,1.6173333333333335,1.6766666666666665,1.5646666666666667,1056600.0
2011-08-19,1.5906666666666667,1.4866666666666668,1.6146666666666665,1.4666666666666666,1375300.0
2011-08-22,1.5406666666666666,1.4633333333333334,1.5866666666666667,1.4453333333333334,986100.0
